t,state,route,x0,y0,yaw0,v0,s0,x1,y1,yaw1,v1,s1,x2,y2,yaw2,v2,s2,speed_ref0,gap01,des01,es01,ev01,tau01,h1,omega_s1,omega_v1,triggered1,trigger_norm1,u_bar1,u_feedback1,a1,solver_status1,solver_value1,solve_time_ms1,fallback_used1,gap12,des12,es12,ev12,tau12,h2,omega_s2,omega_v2,triggered2,trigger_norm2,u_bar2,u_feedback2,a2,solver_status2,solver_value2,solve_time_ms2,fallback_used2,a0,cmd0_throttle,cmd0_brake,cmd0_steer,cmd1_throttle,cmd1_brake,cmd1_steer,cmd2_throttle,cmd2_brake,cmd2_steer
168.113226365,DRIVING,A,304.5695495605469,168.92041015625,-0.003452070548150172,3.003719230459733,284.603,295.4051818847656,168.97640991210938,-0.004647754976190092,2.811261862741503,275.153,286.2233581542969,169.0263671875,-0.006783894171596762,3.2089308378165406,266.153,3.0,9.449999999999989,8.290760078924432,1.1592399210755566,0.19245736771822974,0.05168586095736579,1.170563341159307,0.6550575828720974,0.2516858609573658,1.0,0.8423289585184432,1.5000000002612919,-1.9746537738285487e-12,1.5,optimal,54.511008668442585,1.6891569998733758,False,9.0,8.596788938748965,0.4032110612510351,-0.3976689750750375,0.03662676567323071,1.1208683267216613,0.6098802970196922,0.2366267656732307,1.0,1.2370195965932578,-0.04331009296189228,3.587830033069394e-12,-0.04331009295830445,optimal,3.928335093146888,1.6436619998785318,False,0.04140955590354773,0.3743366536284883,0.0,0.010836788246802821,0.5742142947817803,0.0,-0.0045608330035538545,0.0,0.0,-0.008558045420703047
168.212460687,DRIVING,A,304.8677978515625,168.91749572753906,-0.004375249098242336,2.9857085326076067,284.603,295.6962890625,168.9760284423828,-0.00400441535971911,2.9886372947519937,275.653,286.5390625,169.0252685546875,-0.006013818776008384,3.1100928891116695,266.653,3.0,8.949999999999989,8.800455460089355,0.1495445399106341,-0.002928762144386976,0.08231360328657727,1.271634890845705,0.7469408098597319,0.2823136032865773,True,0.0,0.8036725447935134,-2.0643311192392043e-11,0.8036725447728701,optimal,1.1831655065611633,1.7262229998777912,False,9.0,8.658514835293749,0.3414851647062509,-0.12145559435967579,0.0534352106079674,1.1763361950062925,0.6603056318239022,0.2534352106079674,1.0,1.0733037998070238,0.26114116687082667,1.0045317355711346e-11,0.26114116688087197,optimal,3.48283015171835,1.7148719998658635,False,0.05859117620002956,0.418212529714863,0.0,0.006095408120376113,0.5075958548988947,0.0,0.011738127761902282,0.45524352493668974,0.0,0.001343685021597307
168.31521992,DRIVING,A,305.16534423828125,168.9149169921875,-0.00484507960850545,2.9888955130569212,285.103,296.0052185058594,168.97337341308594,-0.0050183650507936405,3.161960622720999,275.653,286.8376770019531,169.02359008789062,-0.005893120882424899,2.9167297422971528,266.653,3.0,9.449999999999989,9.137140889602502,0.31285911039748626,-0.17306510966407762,0.09345757491691217,1.30840999722581,0.7803727247507365,0.29345757491691216,True,0.0,0.4840096150804852,-4.743561099473936e-12,0.48400961507574164,optimal,2.714840104618787,1.7142490000878752,False,9.0,8.345385654336031,0.654614345663969,0.2452308804238461,0.04453471606819803,1.1469645630250536,0.6336041482045941,0.24453471606819804,1.0,1.6863598368063015,1.3606249304307734,1.878855959702719e-11,1.360624930449562,optimal,19.800708249397655,1.7086559996641881,False,0.05561906720789614,0.4219038041405104,0.0,-0.0027749650660306895,0.477198235014961,0.0,0.013603029218140847,0.5602974029861054,0.0,0.0057657002853429016
168.410043085,DRIVING,A,305.4645690917969,168.9135284423828,-0.00436247814850324,3.013274673525286,285.103,296.3295593261719,168.96932983398438,-0.006718183272442309,3.3044435839369335,276.153,287.125732421875,169.02113342285156,-0.0064453523015880485,2.8790045562042423,267.153,3.0,8.949999999999989,9.009697607238575,-0.059697607238586414,-0.2911689104116473,0.06467453141984578,1.213425953685491,0.6940235942595373,0.26467453141984576,0.0,0.57564418668269,0.24243508190766805,-0.11287174487333168,0.12956333703433637,optimal,2.714840104618787,1.7142490000878752,False,9.0,8.505354274135186,0.4946457258648138,0.42543902773269116,0.0659265871665725,1.2175577376496893,0.6977797614997174,0.2659265871665725,1.0,1.218350531070073,1.500000000017074,5.495748300887725e-12,1.5,optimal,14.781349839947069,1.6406589998041454,False,0.03239249139532299,0.38444150728121057,0.0,-0.004336793031766317,0.43203846774735866,0.0,0.0014976202056182285,0.5736333536089878,0.0,0.0004371369511604633
168.51002132600001,DRIVING,A,305.7662353515625,168.91281127929688,-0.0035260499903258056,3.043350504579538,285.603,296.6659240722656,168.96620178222656,-0.007287396504743917,3.408495140434735,276.653,287.41766357421875,169.01898193359375,-0.006637652818089137,2.9610628465866506,267.153,3.0,8.949999999999989,8.748558998251129,0.2014410017488597,-0.36514463585519685,0.03023318198734834,1.0997695005582495,0.590699545962045,0.23023318198734835,0.0,0.5328708269084591,0.0676452300185644,-0.0860540319975074,-0.018408801978943,optimal,2.714840104618787,1.7142490000878752,False,9.5,8.361064720350047,1.138935279649953,0.44743229384808414,0.04093553406302695,1.1350872624079889,0.6228066021890808,0.24093553406302695,1.0,1.2012915825938157,1.5000000002756875,8.90868490088792e-12,1.5,optimal,62.93116803094553,1.6586779997851409,False,0.003603699370886171,0.34656326272006693,0.0,-0.004983371974769076,0.0,0.0,-0.010816579797582248,0.5729870386858437,0.0,-0.0030778844063174804
168.613329192,DRIVING,A,306.0692138671875,168.9125213623047,-0.002590951193612285,3.049423234353814,286.103,297.0075378417969,168.96522521972656,-0.006211100756134409,3.3966402454700755,276.653,287.72210693359375,169.017333984375,-0.006364580498261088,3.1114351971944747,267.653,3.0,9.449999999999989,8.54008974364646,0.9099102563535286,-0.34721701111626135,0.012797806585465716,1.0422327617320368,0.5383934197563971,0.21279780658546574,1.0,1.3060939340132034,0.6986250267064504,5.429767746534258e-13,0.6986250267069934,optimal,24.32082503554883,1.719796000088536,False,9.0,8.303451078813227,0.696548921186773,0.2852050482756008,0.01870089752986883,1.0617129618485672,0.5561026925896065,0.21870089752986885,1.0,0.8777529197726524,1.4999999999926943,-1.194299104056995e-11,1.4999999999807514,optimal,22.244539774662787,1.691751999715052,False,-0.002412510086445274,0.0,0.0,0.01028463249714538,0.4992258120819234,0.0,-0.010687000245280963,0.5722398363521555,0.0,-0.0076362722657145774
168.717606547,DRIVING,A,306.3699645996094,168.91046142578125,-0.00321116292049161,2.985501166610571,286.103,297.3368225097656,168.9651336669922,-0.004805651820656016,3.2400101164004753,277.153,288.0439147949219,169.0164794921875,-0.005521406012087887,3.299001763014088,268.153,3.0,8.949999999999989,8.434351724981433,0.515648275018556,-0.25450894978990446,0.01817630020399761,1.059981790673192,0.5545289006119928,0.21817630020399761,1.0,0.9877292706223858,0.5927929560003309,-1.2054357512170106e-12,0.5927929559991254,optimal,7.320377403687973,1.7585890000191284,False,9.0,8.508188541670986,0.4918114583290141,-0.05899164661361267,0.019214883010070793,1.0634091139332336,0.5576446490302124,0.2192148830100708,1.0,0.9796631464315634,1.1839067875003764,-1.636788760084329e-11,1.1839067874840086,optimal,8.038110958769131,1.6666659998918476,False,0.05838594843658297,0.4184608770389414,0.0,0.013929945402180078,0.4882341804314825,0.0,0.006630346980456603,0.5435353385936128,0.0,-0.009324296336983454
168.810807963,DRIVING,A,306.656005859375,168.90744018554688,-0.00471485675283573,2.807208046103569,286.603,297.65802001953125,168.96310424804688,-0.005149581910534286,3.2164414520600118,277.653,288.3851013183594,169.0163116455078,-0.004320206447907712,3.4940633246399324,268.153,3.0,8.949999999999989,8.992504390672213,-0.042504390672224446,-0.40923340595644264,0.0731151463390154,1.2412799829187509,0.7193454390170462,0.2731151463390154,True,0.0,-0.4485066105754905,-1.3130950493600579e-11,-0.44850661058862146,optimal,2.780331321801784,1.8208830001640308,False,9.5,9.241618937492817,0.2583810625071834,-0.27762187257992066,0.06483339964027639,1.213950218812912,0.6945001989208291,0.2648333996402764,0.0,0.500596188590107,0.828141818234762,-0.10564997455751199,0.72249184367725,optimal,8.038110958769131,1.6666659998918476,False,0.22872837268771676,0.44822908923945953,0.0,0.00448622560762754,0.0,0.0897013221177243,0.007888562883297142,0.5019853983762279,0.0,-0.0034218635075520063
168.912582001,DRIVING,A,306.9309997558594,168.90509033203125,-0.005450074906765795,2.7443865289416975,286.603,297.9767761230469,168.9601287841797,-0.006109253049641642,3.1395286777189724,277.653,288.74444580078125,169.01576232910156,-0.0036513153092085056,3.664566512476507,268.653,3.0,8.949999999999989,9.143703558637341,-0.19370355863735256,-0.3951421487772748,0.09692391747196841,1.3198489276574956,0.7907717524159052,0.29692391747196845,True,0.0,-1.0524495032869834,-1.5241585771264e-12,-1.0524495032885075,optimal,4.504073089406146,1.8250749999424443,False,9.0,9.496975162515977,-0.4969751625159766,-0.5250378347575348,0.0688335290429862,1.2271506458418544,0.7065005871289586,0.2688335290429862,1.0,1.6842638774359167,-1.193742795639173,-3.107651913580867e-11,-1.1937427956702495,optimal,19.327623140173177,1.69853699981104,False,0.2896868813467863,0.45385951276992664,0.0,-0.002890456895064687,0.0,0.2104899006577015,0.0036826359846805425,0.0,0.2387485591340499,0.013211575013650775
169.015254039,DRIVING,A,307.2043762207031,168.90374755859375,-0.0053161610762727934,2.751406533474936,287.103,298.2765808105469,168.95748901367188,-0.006674580251376065,2.883925348841599,278.153,289.11138916015625,169.01251220703125,-0.004985324168222547,3.621796797262082,269.153,3.0,8.949999999999989,8.616024936097364,0.3339750639026242,-0.13251881536666277,0.07692583300174038,1.2538552489057433,0.7307774990052212,0.2769258330017404,True,0.0,-0.17270481808755553,1.6869061703062016e-11,-0.17270481807068647,optimal,3.844585176246753,1.6748409998399438,False,9.0,9.16646135839111,-0.16646135839111054,-0.7378714484204831,0.04557126648672466,1.1503851794061914,0.6367137994601739,0.24557126648672467,1.0,1.480515007486253,-1.842723149890842,-4.967504185771076e-12,-1.8427231498958097,optimal,8.518659835190538,1.668394999796874,False,0.28426084437283505,0.45336695625072504,0.0,-0.009447334779566134,0.0,0.0345409636141373,-0.005249940386350859,0.0,0.36854462997916193,0.009445084006418617
169.112982987,DRIVING,A,307.48077392578125,168.90353393554688,-0.004425853840291693,2.7940684283464563,287.603,298.54974365234375,168.9561309814453,-0.006322822444457834,2.6258872236849857,278.653,289.4568176269531,169.00885009765625,-0.006401255139303921,3.3171507850468447,269.153,3.0,8.949999999999989,7.721940978223207,1.2280590217767813,0.16818120466147057,0.011084709991493245,1.0365795429719278,0.5332541299744797,0.21108470999149326,1.0,2.167498153736949,1.4999999993990214,2.303960355831691e-11,1.499999999422061,optimal,61.612132711145264,1.7338120001113566,False,9.5,8.44876128405823,1.0512387159417695,-0.691263561361859,0.012022959455798917,1.0396757662041365,0.5360688783673968,0.21202295945579894,1.0,2.495141920759062,-0.3729651493902403,1.7104273553059102e-11,-0.372965149373136,optimal,30.432340454605196,1.802285999929154,False,0.2447617021031585,0.44973340884527846,0.0,-0.011527277204238932,0.5760384525110991,0.0,-0.011856149427214389,0.0,0.07459302987462721,0.0012499888521646434
169.21077921,DRIVING,A,307.7624816894531,168.904052734375,-0.003172496370192048,2.8533926705802104,287.603,298.79931640625,168.95599365234375,-0.005271271727594095,2.4216921429191567,278.653,289.7707824707031,169.00624084472656,-0.006819479101216995,3.0197874074111404,269.653,3.0,8.949999999999989,8.120708720153974,0.8292912798460144,0.4317005276610537,0.08746908885261351,1.2886479932136246,0.7624072665578405,0.2874690888526135,True,0.0,1.500000000519727,6.4546590294867195e-12,1.5,optimal,35.07989513401138,1.783674999842333,False,9.0,8.366153476415583,0.6338465235844168,-0.5980952644919837,0.034757219859994325,1.1146988255379813,0.604271659579983,0.23475721985999434,0.0,0.6235468989475478,0.1105317624322923,-0.03613009807565653,0.07440166435663578,optimal,30.432340454605196,1.802285999929154,False,0.18913670862819107,0.4447280147744692,0.0,-0.005211051457559048,0.5798369432256655,0.0,-0.009646899639127135,0.4081778587120507,0.0,-0.008571731154505213
