s,x,y,yaw,kappa,speed
236.283,256.4,169.2,-0.005692,0.0,3.0
236.783,256.9,169.19,-0.005692,0.0,3.0
237.283,257.4,169.19,-0.005692,0.0,3.0
237.783,257.9,169.19,-0.005692,0.0,3.0
238.283,258.4,169.19,-0.005692,0.0,3.0
238.783,258.9,169.18,-0.005692,0.0,3.0
239.283,259.4,169.18,-0.005692,0.0,3.0
239.783,259.9,169.18,-0.005692,0.0,3.0
240.283,260.4,169.17,-0.005692,0.0,3.0
240.783,260.9,169.17,-0.005692,0.0,3.0
241.283,261.4,169.17,-0.005692,0.0,3.0
241.783,261.9,169.17,-0.005692,0.0,3.0
242.283,262.4,169.16,-0.005692,0.0,3.0
242.783,262.9,169.16,-0.005692,0.0,3.0
243.283,263.4,169.16,-0.005692,0.0,3.0
243.783,263.9,169.15,-0.005692,0.0,3.0
244.283,264.4,169.15,-0.005692,0.0,3.0
244.783,264.9,169.15,-0.005692,0.0,3.0
245.283,265.4,169.15,-0.005692,0.0,3.0
246.153,266.27,169.14,-0.005692,0.0,3.0
246.653,266.77,169.14,-0.005692,0.0,3.0
247.153,267.27,169.14,-0.005692,0.0,3.0
247.653,267.77,169.13,-0.005692,0.0,3.0
248.153,268.27,169.13,-0.005692,0.0,3.0
248.653,268.77,169.13,-0.005692,0.0,3.0
249.153,269.27,169.12,-0.005692,0.0,3.0
249.653,269.77,169.12,-0.005692,0.0,3.0
250.153,270.27,169.12,-0.005692,0.0,3.0
250.653,270.77,169.12,-0.005692,0.0,3.0
251.153,271.27,169.11,-0.005692,0.0,3.0
251.653,271.77,169.11,-0.005692,0.0,3.0
252.153,272.27,169.11,-0.005692,0.0,3.0
252.653,272.77,169.1,-0.005692,0.0,3.0
253.153,273.27,169.1,-0.005692,0.0,3.0
253.653,273.77,169.1,-0.005692,0.0,3.0
254.153,274.27,169.1,-0.005692,0.0,3.0
254.653,274.77,169.09,-0.005692,0.0,3.0
255.153,275.27,169.09,-0.005692,0.0,3.0
255.653,275.77,169.09,-0.005692,0.0,3.0
256.153,276.27,169.08,-0.005692,0.0,3.0
256.653,276.77,169.08,-0.005692,0.0,3.0
257.153,277.27,169.08,-0.005692,0.0,3.0
257.653,277.77,169.08,-0.005692,0.0,3.0
258.153,278.27,169.07,-0.005692,0.0,3.0
258.653,278.77,169.07,-0.005692,0.0,3.0
259.153,279.27,169.07,-0.005692,0.0,3.0
259.653,279.77,169.06,-0.005692,0.0,3.0
260.153,280.27,169.06,-0.005692,0.0,3.0
260.653,280.77,169.06,-0.005692,0.0,3.0
261.153,281.27,169.06,-0.005692,0.0,3.0
261.653,281.77,169.05,-0.005692,0.0,3.0
262.153,282.27,169.05,-0.005692,0.0,3.0
262.653,282.77,169.05,-0.005692,0.0,3.0
263.153,283.27,169.04,-0.005692,0.0,3.0
263.653,283.77,169.04,-0.005692,0.0,3.0
264.153,284.27,169.04,-0.005692,0.0,3.0
264.653,284.77,169.04,-0.005692,0.0,3.0
265.153,285.27,169.03,-0.005692,0.0,3.0
